

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
026.107  000.033  000.033: require('cmp.view.custom_entries_view')
026.133  000.024  000.024: require('cmp.view.wildmenu_entries_view')
026.155  000.021  000.021: require('cmp.view.native_entries_view')
026.189  000.033  000.033: require('cmp.view.ghost_text_view')
026.194  000.216  000.031: require('cmp.view')
026.518  001.031  000.364: require('cmp.core')
026.625  000.041  000.041: require('cmp.config.sources')
026.645  000.018  000.018: require('cmp.config.window')
026.671  001.218  000.127: require('cmp')
026.701  000.029  000.029: require('lsp-zero.cmp-mapping')
026.743  000.036  000.036: require('lspconfig.server_configurations.lua_ls')
027.537  000.042  000.042: require('lspconfig.manager')
027.663  000.122  000.122: require('vim.diagnostic')
027.804  000.095  000.095: require('luasnip.util.jsonc')
027.811  000.143  000.047: require('luasnip.loaders.from_vscode')
029.174  000.022  000.022: require('luasnip.util.events')
029.182  000.072  000.050: require('luasnip.nodes.node')
029.312  000.129  000.129: require('luasnip.nodes.insertNode')
029.415  000.101  000.101: require('luasnip.nodes.textNode')
029.479  000.061  000.061: require('luasnip.util.mark')
029.522  000.041  000.041: require('luasnip.util.pattern_tokenizer')
029.554  000.030  000.030: require('luasnip.util.dict')
029.592  000.037  000.037: require('luasnip.nodes.util.trig_engines')
029.644  000.612  000.140: require('luasnip.nodes.snippet')
029.647  000.658  000.046: require('luasnip.nodes.duplicate')
030.068  000.074  000.074: require('luasnip.util.parser.neovim_ast')
030.117  000.047  000.047: require('luasnip.util.str')
030.167  000.047  000.047: require('luasnip.util.directed_graph')
030.172  000.249  000.082: require('luasnip.util.parser.ast_utils')
030.238  000.065  000.065: require('luasnip.nodes.functionNode')
030.351  000.112  000.112: require('luasnip.nodes.choiceNode')
030.462  000.110  000.110: require('luasnip.nodes.dynamicNode')
030.512  000.047  000.047: require('luasnip.util.functions')
030.517  000.668  000.085: require('luasnip.util.parser.ast_parser')
030.665  000.147  000.147: require('luasnip.util.parser.neovim_parser')
030.695  000.931  000.116: require('luasnip.util.parser')
030.700  001.045  000.114: require('luasnip.nodes.snippetProxy')
030.748  000.046  000.046: require('luasnip.nodes.multiSnippet')
036.026  000.046  000.046: require('lsp-zero.setup')
036.106  000.032  000.032: require('lsp-zero.cmp')
037.088  000.039  000.039: require('mason-lspconfig.ensure_installed')
037.151  000.026  000.026: require('mason-core.result')
037.262  000.058  000.058: require('mason-core.process')
037.450  000.162  000.162: require('mason-core.spawn')
037.453  000.275  000.054: require('mason-core.managers.powershell')
037.485  000.031  000.031: require('mason.version')
037.487  000.334  000.028: require('mason-core.fetch')
